table,explanation
service_defaults,Default settings for services.
service_item_audit_logs,Audit trail for service item changes.
service_item_outcome_options,Outcome options available for service items.
service_item_visibilities,Visibility settings for service items.
service_items,Individual service item records.
service_outcome_options,Outcome options available for services.
service_prices,Base price definitions for services.
service_recommendations,Recommended services for a referral/candidate.
service_variations,Variations/configurations of a service.
services,Core service catalogue.
sessions,Authentication/login session records.
shift_recurrence_skips,Skipped occurrences in shift recurrence patterns.
shift_recurrences,Recurrence patterns for shifts.
shift_task_categories,Categories for shift tasks.
shift_task_types,Types of shift tasks.
shifts,Work shift records.
site_contact_defaults,Default contacts assigned to sites.
site_service_prices,Service prices negotiated per site.
sites,Sites (lowest level of tenant hierarchy under company).
suburbs,Suburb/locality reference data.
supplier_assignments,Assignments of suppliers to work.
supplier_availabilities,Supplier availability windows.
supplier_blocked_dates,Dates suppliers are unavailable.
supplier_capability_variants,Service variant capabilities of suppliers.
supplier_referral_templates,Referral templates specific to suppliers.
supplier_service_capabilities,Services a supplier is capable of providing.
suppliers,Supplier/provider records.
system_settings,Global system configuration settings.
tags,Generic tag records.
telehealth_consultations,Telehealth consultation records.
telehealth_reasons,Reasons for telehealth consultations.
time_segments,Time segment definitions (scheduling blocks).
user_permissions,Direct permission grants to users.
user_roles,Join of roles assigned to users.
user_scope_assignments,Tenant scope assignments restricting user access.
users,User accounts.
voice_call_logs,Log of voice calls made/received.
voice_call_trigger_conditions,Conditions for voice call triggers.
voice_call_triggers,Definitions of conditions that initiate voice calls.
