table,explanation,in_db_reference_export
referral_templates,Templates for creating referrals.,no
referrals,Core referral records (central assessment workflow entity).,no
refunds,Refund records.,no
report_exports,Tracking records for report export jobs.,no
reports,Generated report records.,no
reschedule_requests,Requests to reschedule appointments.,no
role_permissions,Join of permissions granted to roles.,no
roles,Role definitions (admin/assessor/doctor/etc.).,no
saas_subscriptions,SaaS-level subscription records.,no
scheduled_reports,Definitions of reports scheduled to run automatically.,no
secondary_assessment_reasons,Reasons for secondary assessments.,yes
service_bundle_items,Items within a service bundle.,yes
service_defaults,Default settings for services.,no
service_item_audit_logs,Audit trail for service item changes.,no
service_item_outcome_options,Outcome options available for service items.,yes
service_item_visibilities,Visibility settings for service items.,no
service_items,Individual service item records.,yes
service_outcome_options,Outcome options available for services.,yes
service_prices,Base price definitions for services.,yes
service_recommendations,Recommended services for a referral/candidate.,no
service_variations,Variations/configurations of a service.,yes
services,Core service catalogue.,no
sessions,Authentication/login session records.,no
shift_recurrence_skips,Skipped occurrences in shift recurrence patterns.,no
shift_recurrences,Recurrence patterns for shifts.,no
shift_task_categories,Categories for shift tasks.,no
shift_task_types,Types of shift tasks.,no
shifts,Work shift records.,no
site_contact_defaults,Default contacts assigned to sites.,no
site_service_prices,Service prices negotiated per site.,no
sites,Sites (lowest level of tenant hierarchy under company).,no
suburbs,Suburb/locality reference data.,no
supplier_assignments,Assignments of suppliers to work.,no
supplier_availabilities,Supplier availability windows.,no
supplier_blocked_dates,Dates suppliers are unavailable.,no
supplier_capability_variants,Service variant capabilities of suppliers.,no
supplier_referral_templates,Referral templates specific to suppliers.,no
supplier_service_capabilities,Services a supplier is capable of providing.,no
suppliers,Supplier/provider records.,no
system_settings,Global system configuration settings.,no
tags,Generic tag records.,yes
telehealth_consultations,Telehealth consultation records.,no
telehealth_reasons,Reasons for telehealth consultations.,no
time_segments,Time segment definitions (scheduling blocks).,no
user_permissions,Direct permission grants to users.,no
user_roles,Join of roles assigned to users.,no
user_scope_assignments,Tenant scope assignments restricting user access.,no
users,User accounts.,no
voice_call_logs,Log of voice calls made/received.,no
voice_call_trigger_conditions,Conditions for voice call triggers.,no
voice_call_triggers,Definitions of conditions that initiate voice calls.,no
